paper,author,species,experiment,spawn/brood,response,unit,mean_value,n,standard_error,standard_deviation,sediment_mg_per_l,depth_m,ammonium_microM,phosphorous_microM,light_treatment_percent_transmission,copper_ug_per_l,tributyltin_ug_per_l,zinc_ug_per_l,cadmium_ug_per_l,salinity_psu,nitrate_microM,tempertaure_degrees_celcius,mercury_ug/_per_l,benzo(a)pyrene_ug_per_l,acidification_pH,lead_ug_per_l,nickel_ug_per_l,factor,life stage,unit,mean_value,control,success,failure
"The Effect of Copper, Zinc and Cadmium on Fertilization Success of Gametes from Scleractinian Reef Corals",Reichelt-Brushett and Harrison,Goniastrea aspera,23,spawn,fertilisation,0%,97.138,500,2.604,26.04,,,,,,,,200,,,,,,,,,,ZINC,fertilisation,ug/l,200,0,486,14
"The Effect of Copper, Zinc and Cadmium on Fertilization Success of Gametes from Scleractinian Reef Corals",Reichelt-Brushett and Harrison,Goniastrea aspera,23,spawn,fertilisation,0%,97.398,500,1.562,15.62,,,,,,,,500,,,,,,,,,,ZINC,fertilisation,ug/l,500,0,487,13
"The Effect of Copper, Zinc and Cadmium on Fertilization Success of Gametes from Scleractinian Reef Corals",Reichelt-Brushett and Harrison,Goniastrea aspera,24,spawn,fertilisation,0%,99.735,500,0.529,5.29,,,,,,,,,0,,,,,,,,,CADMIUM,fertilisation,ug/l,0,1,499,1
"The Effect of Copper, Zinc and Cadmium on Fertilization Success of Gametes from Scleractinian Reef Corals",Reichelt-Brushett and Harrison,Goniastrea aspera,24,spawn,fertilisation,0%,96.843,500,1.058,10.58,,,,,,,,,2,,,,,,,,,CADMIUM,fertilisation,ug/L,2,0,484,16
"The Effect of Copper, Zinc and Cadmium on Fertilization Success of Gametes from Scleractinian Reef Corals",Reichelt-Brushett and Harrison,Goniastrea aspera,24,spawn,fertilisation,0%,98.942,500,0.794,7.94,,,,,,,,,20,,,,,,,,,CADMIUM,fertilisation,ug/l,20,0,495,5
"The Effect of Copper, Zinc and Cadmium on Fertilization Success of Gametes from Scleractinian Reef Corals",Reichelt-Brushett and Harrison,Goniastrea aspera,24,spawn,fertilisation,0%,96.348,500,1.852,18.52,,,,,,,,,100,,,,,,,,,CADMIUM,fertilisation,ug/l,100,0,482,18
"The Effect of Copper, Zinc and Cadmium on Fertilization Success of Gametes from Scleractinian Reef Corals",Reichelt-Brushett and Harrison,Oxypora lacera,24,,fertilisation,0%,98.942,500,0.794,7.94,,,,,,,,,200,,,,,,,,,CADMIUM,fertilisation,ug/l,200,0,495,5
"The Effect of Copper, Zinc and Cadmium on Fertilization Success of Gametes from Scleractinian Reef Corals",Reichelt-Brushett and Harrison,Oxypora lacera,25,,fertilisation,0%,90.909,500,4.545,45.45,,,,,,,,,0,,,,,,,,,CADMIUM,fertilisation,ug/l,0,1,455,45
"The Effect of Copper, Zinc and Cadmium on Fertilization Success of Gametes from Scleractinian Reef Corals",Reichelt-Brushett and Harrison,Oxypora lacera,25,,fertilisation,0%,86.364,500,4.545,45.45,,,,,,,,,20,,,,,,,,,CADMIUM,fertilisation,ug/L,20,0,432,68
"The Effect of Copper, Zinc and Cadmium on Fertilization Success of Gametes from Scleractinian Reef Corals",Reichelt-Brushett and Harrison,Oxypora lacera,25,,fertilisation,0%,93.339,500,2.139,21.39,,,,,,,,,200,,,,,,,,,CADMIUM,fertilisation,ug/l,200,0,467,33
"The Effect of Copper, Zinc and Cadmium on Fertilization Success of Gametes from Scleractinian Reef Corals",Reichelt-Brushett and Harrison,Oxypora lacera,25,,fertilisation,0%,88.244,500,8.021,80.21,,,,,,,,,1000,,,,,,,,,CADMIUM,fertilisation,ug/L,1000,0,441,59
Reduced salinity decreases the fertilization success and larval survival of two scleractinian coral species,"Scott, Harrison and Brooks",Acropora millepora,26,spawn,fertilisation,0%,46.098,1000,26.877,12.01975981,,,,,,,,,,36.8,,,,,,,,SALINITY,fertilisation,psu,36.8,,461,539
Reduced salinity decreases the fertilization success and larval survival of two scleractinian coral species,"Scott, Harrison and Brooks",Acropora millepora,26,spawn,fertilisation,0%,18.605,1000,10.131,4.530720936,,,,,,,,,,33.1,,,,,,,,SALINITY,fertilisation,psu,33.1,,186,814
Reduced salinity decreases the fertilization success and larval survival of two scleractinian coral species,"Scott, Harrison and Brooks",Acropora millepora,26,spawn,fertilisation,0%,6,1000,3.514,1.571508575,,,,,,,,,,29.4,,,,,,,,SALINITY,fertilisation,psu,29.4,,58,942
Reduced salinity decreases the fertilization success and larval survival of two scleractinian coral species,"Scott, Harrison and Brooks",Acropora millepora,26,spawn,fertilisation,0%,0,1000,0,0,,,,,,,,,,25.8,,,,,,,,SALINITY,fertilisation,psu,25.8,,0,1000
Reduced salinity decreases the fertilization success and larval survival of two scleractinian coral species,"Scott, Harrison and Brooks",Acropora millepora,26,spawn,fertilisation,0%,0,1000,0,0,,,,,,,,,,18.4,,,,,,,,SALINITY,fertilisation,psu,18.4,,0,1000
Reduced salinity decreases the fertilization success and larval survival of two scleractinian coral species,"Scott, Harrison and Brooks",Platygyra daedalea,26,spawn,fertilisation,0%,17.287,1000,9.894,4.424731314,,,,,,,,,,36.8,,,,,,,,SALINITY,fertilisation,psu,36.8,,173,827
Reduced salinity decreases the fertilization success and larval survival of two scleractinian coral species,"Scott, Harrison and Brooks",Platygyra daedalea,26,spawn,fertilisation,0%,28.101,1000,18.206,8.14197072,,,,,,,,,,33.1,,,,,,,,SALINITY,fertilisation,psu,33.1,,281,719
Reduced salinity decreases the fertilization success and larval survival of two scleractinian coral species,"Scott, Harrison and Brooks",Platygyra daedalea,26,spawn,fertilisation,0%,18.47,1000,10.818,4.837956676,,,,,,,,,,29.4,,,,,,,,SALINITY,fertilisation,psu,29.4,,185,815
Reduced salinity decreases the fertilization success and larval survival of two scleractinian coral species,"Scott, Harrison and Brooks",Platygyra daedalea,26,spawn,fertilisation,0%,0.528,1000,0,0,,,,,,,,,,25.8,,,,,,,,SALINITY,fertilisation,psu,25.8,,5,995
Reduced salinity decreases the fertilization success and larval survival of two scleractinian coral species,"Scott, Harrison and Brooks",Platygyra daedalea,26,spawn,fertilisation,0%,0,1000,0,0,,,,,,,,,,18.4,,,,,,,,SALINITY,fertilisation,psu,18.4,,0,1000
Reduced salinity decreases the fertilization success and larval survival of two scleractinian coral species,"Scott, Harrison and Brooks",Platygyra daedalea,26,spawn,survivorship,0%,74.819,16,,,,,,,,,,,,36.8,,,,,,,,SALINITY,survivorship,psu,36.8,,12,4
Reduced salinity decreases the fertilization success and larval survival of two scleractinian coral species,"Scott, Harrison and Brooks",Platygyra daedalea,26,spawn,survivorship,0%,57.808,16,,,,,,,,,,,,33.1,,,,,,,,SALINITY,survivorship,psu,33.1,,9,7
Reduced salinity decreases the fertilization success and larval survival of two scleractinian coral species,"Scott, Harrison and Brooks",Platygyra daedalea,26,spawn,survivorship,0%,52.126,16,,,,,,,,,,,,29.4,,,,,,,,SALINITY,survivorship,psu,29.4,,8,8
Reduced salinity decreases the fertilization success and larval survival of two scleractinian coral species,"Scott, Harrison and Brooks",Platygyra daedalea,26,spawn,survivorship,0%,63.827,16,,,,,,,,,,,,25.8,,,,,,,,SALINITY,survivorship,psu,25.8,,10,6
Reduced salinity decreases the fertilization success and larval survival of two scleractinian coral species,"Scott, Harrison and Brooks",Platygyra daedalea,26,spawn,survivorship,0%,0,16,,,,,,,,,,,,18.4,,,,,,,,SALINITY,survivorship,psu,18.4,,0,16
Reduced salinity decreases the fertilization success and larval survival of two scleractinian coral species,"Scott, Harrison and Brooks",Platygyra daedalea,26,spawn,survivorship,0%,81.787,16,,,,,,,,,,,,36.8,,,,,,,,SALINITY,survivorship,psu,36.8,,13,3
Reduced salinity decreases the fertilization success and larval survival of two scleractinian coral species,"Scott, Harrison and Brooks",Platygyra daedalea,26,spawn,survivorship,0%,64.285,16,,,,,,,,,,,,33.1,,,,,,,,SALINITY,survivorship,psu,33.1,,10,6
Reduced salinity decreases the fertilization success and larval survival of two scleractinian coral species,"Scott, Harrison and Brooks",Platygyra daedalea,26,spawn,survivorship,0%,93.926,16,,,,,,,,,,,,29.4,,,,,,,,SALINITY,survivorship,psu,29.4,,15,1
Reduced salinity decreases the fertilization success and larval survival of two scleractinian coral species,"Scott, Harrison and Brooks",Platygyra daedalea,26,spawn,survivorship,0%,76.073,16,,,,,,,,,,,,25.8,,,,,,,,SALINITY,survivorship,psu,25.8,,12,4
Reduced salinity decreases the fertilization success and larval survival of two scleractinian coral species,"Scott, Harrison and Brooks",Platygyra daedalea,26,spawn,survivorship,0%,11.071,16,,,,,,,,,,,,18.4,,,,,,,,SALINITY,survivorship,psu,18.4,,2,14
Effect of copper on fertilization success in the reef coral Acropora surculosa,Victor and Richmond,Acropora surcolosa,27,spawn,fertilisation,0%,72.496,480,9.501,84.97952742,,,,,,25,,,,,,,,,,,,COPPER,fertilisation,ug/L,25,0,348,132
Effect of copper on fertilization success in the reef coral Acropora surculosa,Victor and Richmond,Acropora surcolosa,27,spawn,fertilisation,0%,34.84,480,16.54,147.9382574,,,,,,50,,,,,,,,,,,,COPPER,fertilisation,ug/L,50,0,167,313
Effect of copper on fertilization success in the reef coral Acropora surculosa,Victor and Richmond,Acropora surcolosa,27,spawn,fertilisation,0%,26.745,480,5.63,50.35625085,,,,,,75,,,,,,,,,,,,COPPER,fertilisation,ug/L,75,0,128,352
Effect of copper on fertilization success in the reef coral Acropora surculosa,Victor and Richmond,Acropora surcolosa,27,spawn,fertilisation,0%,16.891,480,10.915,97.6267279,,,,,,100,,,,,,,,,,,,COPPER,fertilisation,ug/L,100,0,81,399
Effect of copper on fertilization success in the reef coral Acropora surculosa,Victor and Richmond,Acropora surcolosa,27,spawn,fertilisation,0%,3.871,480,2.111,18.881358,,,,,,200,,,,,,,,,,,,COPPER,fertilisation,ug/L,200,0,19,461
Effect of copper on fertilization success in the reef coral Acropora surculosa,Victor and Richmond,Acropora surcolosa,28,spawn,gamete survival into embryo,0%,74.779,480,11.441,102.3314149,,,,,,1,,,,,,,,,,,,COPPER,gamete survivorship,ug/L,1,1,359,121
Effect of copper on fertilization success in the reef coral Acropora surculosa,Victor and Richmond,Acropora surcolosa,28,spawn,gamete survival into embryo,0%,43.694,480,23.169,207.2298359,,,,,,12,,,,,,,,,,,,COPPER,gamete survivorship,ug/L,12,0,210,270
Effect of copper on fertilization success in the reef coral Acropora surculosa,Victor and Richmond,Acropora surcolosa,28,spawn,gamete survival into embryo,0%,14.956,480,8.216,73.48613801,,,,,,30,,,,,,,,,,,,COPPER,gamete survivorship,ug/L,30,0,72,408
Effect of copper on fertilization success in the reef coral Acropora surculosa,Victor and Richmond,Acropora surcolosa,28,spawn,gamete survival into embryo,0%,3.226,480,8.211,73.44141665,,,,,,58,,,,,,,,,,,,COPPER,gamete survivorship,ug/L,58,0,15,465
Effect of copper on fertilization success in the reef coral Acropora surculosa,Victor and Richmond,Acropora surcolosa,28,spawn,gamete survival into embryo,0%,0,480,0,0,,,,,,86,,,,,,,,,,,,COPPER,gamete survivorship,ug/L,86,0,0,480
Effect of copper on fertilization success in the reef coral Acropora surculosa,Victor and Richmond,Acropora surcolosa,28,spawn,gamete survival into embryo,0%,0,480,0,0,,,,,,114,,,,,,,,,,,,COPPER,gamete survivorship,ug/L,114,0,0,480
Effect of copper on fertilization success in the reef coral Acropora surculosa,Victor and Richmond,Acropora surcolosa,28,spawn,gamete survival into embryo,0%,0,480,0,0,,,,,,216,,,,,,,,,,,,COPPER,gamete survivorship,ug/L,216,0,0,480
"Effects of suspended sediments, dissolved inorganic nutrients and salinity on fertilisation and embryo development in the coral Acropora millepora","Humphrey, Weber, Lott, Cooper",Acropora millepora,29,spawn,fertilisation,0%,86.167,480,2.439,,0,,,,,,,,,,,,,,,,,SEDIMENT,fertilisation,mgl-1,0,1,414,66
"Effects of suspended sediments, dissolved inorganic nutrients and salinity on fertilisation and embryo development in the coral Acropora millepora","Humphrey, Weber, Lott, Cooper",Acropora millepora,29,spawn,fertilisation,0%,87.808,550,3.252,,25,,,,,,,,,,,,,,,,,SEDIMENT,fertilisation,mgl-1,25,0,483,67
"Effects of suspended sediments, dissolved inorganic nutrients and salinity on fertilisation and embryo development in the coral Acropora millepora","Humphrey, Weber, Lott, Cooper",Acropora millepora,29,spawn,fertilisation,0%,92.671,550,1.626,,50,,,,,,,,,,,,,,,,,SEDIMENT,fertilisation,mgl-1,50,0,510,40
"Effects of suspended sediments, dissolved inorganic nutrients and salinity on fertilisation and embryo development in the coral Acropora millepora","Humphrey, Weber, Lott, Cooper",Acropora millepora,29,spawn,fertilisation,0%,72.353,550,4.877,,100,,,,,,,,,,,,,,,,,SEDIMENT,fertilisation,mgl-1,100,0,398,152
"Effects of suspended sediments, dissolved inorganic nutrients and salinity on fertilisation and embryo development in the coral Acropora millepora","Humphrey, Weber, Lott, Cooper",Acropora millepora,29,spawn,fertilisation,0%,33.329,550,4.065,,200,,,,,,,,,,,,,,,,,SEDIMENT,fertilisation,mgl-1,200,0,183,367
"Effects of suspended sediments, dissolved inorganic nutrients and salinity on fertilisation and embryo development in the coral Acropora millepora","Humphrey, Weber, Lott, Cooper",Acropora millepora,30,spawn,fertilisation,0%,86.98,550,1.626,,,,,,,,,,,36,,,,,,,,SALINITY,fertilisation,ppt,36,0,478,72
"Effects of suspended sediments, dissolved inorganic nutrients and salinity on fertilisation and embryo development in the coral Acropora millepora","Humphrey, Weber, Lott, Cooper",Acropora millepora,30,spawn,fertilisation,0%,86.171,550,3.252,,,,,,,,,,,34,,,,,,,,SALINITY,fertilisation,ppt,34,0,474,76
"Effects of suspended sediments, dissolved inorganic nutrients and salinity on fertilisation and embryo development in the coral Acropora millepora","Humphrey, Weber, Lott, Cooper",Acropora millepora,30,spawn,fertilisation,0%,85.355,550,4.065,,,,,,,,,,,32,,,,,,,,SALINITY,fertilisation,ppt,32,0,469,81
"Effects of suspended sediments, dissolved inorganic nutrients and salinity on fertilisation and embryo development in the coral Acropora millepora","Humphrey, Weber, Lott, Cooper",Acropora millepora,30,spawn,fertilisation,0%,34.152,550,4.877,,,,,,,,,,,30,,,,,,,,SALINITY,fertilisation,ppt,30,1,188,362
"Effects of suspended sediments, dissolved inorganic nutrients and salinity on fertilisation and embryo development in the coral Acropora millepora","Humphrey, Weber, Lott, Cooper",Acropora millepora,31,spawn,fertilisation,0%,86.171,550,4.065,,,,,,,,,,,,0,,,,,,,NITRATE,fertilisation,microM,0,1,474,76
"Effects of suspended sediments, dissolved inorganic nutrients and salinity on fertilisation and embryo development in the coral Acropora millepora","Humphrey, Weber, Lott, Cooper",Acropora millepora,31,spawn,fertilisation,0%,88.61,550,3.252,,,,,,,,,,,,1.25,,,,,,,NITRATE,fertilisation,microM,1.25,0,487,63
"Effects of suspended sediments, dissolved inorganic nutrients and salinity on fertilisation and embryo development in the coral Acropora millepora","Humphrey, Weber, Lott, Cooper",Acropora millepora,31,spawn,fertilisation,0%,85.355,550,4.065,,,,,,,,,,,,2.5,,,,,,,NITRATE,fertilisation,microM,2.5,0,469,81
"Effects of suspended sediments, dissolved inorganic nutrients and salinity on fertilisation and embryo development in the coral Acropora millepora","Humphrey, Weber, Lott, Cooper",Acropora millepora,31,spawn,fertilisation,0%,95.141,550,3.252,,,,,,,,,,,,5,,,,,,,NITRATE,fertilisation,microM,5,0,523,27
"Effects of suspended sediments, dissolved inorganic nutrients and salinity on fertilisation and embryo development in the coral Acropora millepora","Humphrey, Weber, Lott, Cooper",Acropora millepora,31,spawn,fertilisation,0%,87.808,550,2.439,,,,,,,,,,,,10,,,,,,,NITRATE,fertilisation,microM,10,0,483,67
"Effects of suspended sediments, dissolved inorganic nutrients and salinity on fertilisation and embryo development in the coral Acropora millepora","Humphrey, Weber, Lott, Cooper",Acropora millepora,31,spawn,fertilisation,0%,87.827,550,0.813,,,,,,,,,,,,20,,,,,,,NITRATE,fertilisation,microM,20,0,483,67
"Effects of suspended sediments, dissolved inorganic nutrients and salinity on fertilisation and embryo development in the coral Acropora millepora","Humphrey, Weber, Lott, Cooper",Acropora millepora,32,spawn,fertilisation,0%,85.37,550,3.252,,,,0,,,,,,,,,,,,,,,AMMONIUM,fertilisation,microM,0,1,470,80
"Effects of suspended sediments, dissolved inorganic nutrients and salinity on fertilisation and embryo development in the coral Acropora millepora","Humphrey, Weber, Lott, Cooper",Acropora millepora,32,spawn,fertilisation,0%,82.92,550,2.439,,,,0.25,,,,,,,,,,,,,,,AMMONIUM,fertilisation,microM,0.25,0,456,94
"Effects of suspended sediments, dissolved inorganic nutrients and salinity on fertilisation and embryo development in the coral Acropora millepora","Humphrey, Weber, Lott, Cooper",Acropora millepora,32,spawn,fertilisation,0%,84.542,550,3.252,,,,0.5,,,,,,,,,,,,,,,AMMONIUM,fertilisation,microM,0.5,0,465,85
"Effects of suspended sediments, dissolved inorganic nutrients and salinity on fertilisation and embryo development in the coral Acropora millepora","Humphrey, Weber, Lott, Cooper",Acropora millepora,32,spawn,fertilisation,0%,97.793,550,4.065,,,,1,,,,,,,,,,,,,,,AMMONIUM,fertilisation,microM,1,0,538,12
"Effects of suspended sediments, dissolved inorganic nutrients and salinity on fertilisation and embryo development in the coral Acropora millepora","Humphrey, Weber, Lott, Cooper",Acropora millepora,32,spawn,fertilisation,0%,86.98,550,1.626,,,,2,,,,,,,,,,,,,,,AMMONIUM,fertilisation,microM,2,0,478,72
"Effects of suspended sediments, dissolved inorganic nutrients and salinity on fertilisation and embryo development in the coral Acropora millepora","Humphrey, Weber, Lott, Cooper",Acropora millepora,32,spawn,fertilisation,0%,84.557,550,1.626,,,,4,,,,,,,,,,,,,,,AMMONIUM,fertilisation,microM,4,0,465,85
"Effects of suspended sediments, dissolved inorganic nutrients and salinity on fertilisation and embryo development in the coral Acropora millepora","Humphrey, Weber, Lott, Cooper",Acropora millepora,33,spawn,fertilisation,0%,85.96,550,3.508,,0,,,0,,,,,,32,0,,,,,,,"AMMONIUM,NITRATE,SALINITY,SEDIMENT",fertilisation,microM,85.96,,473,77
"Effects of suspended sediments, dissolved inorganic nutrients and salinity on fertilisation and embryo development in the coral Acropora millepora","Humphrey, Weber, Lott, Cooper",Acropora millepora,33,spawn,fertilisation,0%,60.809,550,2.339,,50,,,0,,,,,,32,0,,,,,,,"AMMONIUM,NITRATE,SALINITY,SEDIMENT",fertilisation,microM,60.809,,334,216
"Effects of suspended sediments, dissolved inorganic nutrients and salinity on fertilisation and embryo development in the coral Acropora millepora","Humphrey, Weber, Lott, Cooper",Acropora millepora,33,spawn,fertilisation,0%,39.175,550,7.016,,100,,,0,,,,,,32,0,,,,,,,"AMMONIUM,NITRATE,SALINITY,SEDIMENT",fertilisation,microM,39.175,,215,335
"Effects of suspended sediments, dissolved inorganic nutrients and salinity on fertilisation and embryo development in the coral Acropora millepora","Humphrey, Weber, Lott, Cooper",Acropora millepora,34,spawn,fertilisation,0%,87.17,550,1.754,,0,,,0,,,,,,36,0,,,,,,,"AMMONIUM,NITRATE,SALINITY,SEDIMENT",fertilisation,microM,87.17,,479,71
"Effects of suspended sediments, dissolved inorganic nutrients and salinity on fertilisation and embryo development in the coral Acropora millepora","Humphrey, Weber, Lott, Cooper",Acropora millepora,34,spawn,fertilisation,0%,92.976,550,1.169,,50,,,0,,,,,,36,0,,,,,,,"AMMONIUM,NITRATE,SALINITY,SEDIMENT",fertilisation,microM,92.976,,511,39
"Effects of suspended sediments, dissolved inorganic nutrients and salinity on fertilisation and embryo development in the coral Acropora millepora","Humphrey, Weber, Lott, Cooper",Acropora millepora,34,spawn,fertilisation,0%,72.503,550,5.847,,100,,,0,,,,,,36,0,,,,,,,"AMMONIUM,NITRATE,SALINITY,SEDIMENT",fertilisation,microM,72.503,,399,151
"Effects of suspended sediments, dissolved inorganic nutrients and salinity on fertilisation and embryo development in the coral Acropora millepora","Humphrey, Weber, Lott, Cooper",Acropora millepora,35,spawn,fertilisation,0%,89.552,550,3.488,,0,,,1,,,,,,32,5,,,,,,,"AMMONIUM,NITRATE,SALINITY,SEDIMENT",fertilisation,microM,89.552,,493,57
"Effects of suspended sediments, dissolved inorganic nutrients and salinity on fertilisation and embryo development in the coral Acropora millepora","Humphrey, Weber, Lott, Cooper",Acropora millepora,35,spawn,fertilisation,0%,65.116,550,5.843,,50,,,1,,,,,,32,5,,,,,,,"AMMONIUM,NITRATE,SALINITY,SEDIMENT",fertilisation,microM,65.116,,358,192
"Effects of suspended sediments, dissolved inorganic nutrients and salinity on fertilisation and embryo development in the coral Acropora millepora","Humphrey, Weber, Lott, Cooper",Acropora millepora,35,spawn,fertilisation,0%,34.322,550,4.07,,100,,,1,,,,,,32,5,,,,,,,"AMMONIUM,NITRATE,SALINITY,SEDIMENT",fertilisation,microM,34.322,,189,361
"Effects of suspended sediments, dissolved inorganic nutrients and salinity on fertilisation and embryo development in the coral Acropora millepora","Humphrey, Weber, Lott, Cooper",Acropora millepora,36,spawn,fertilisation,0%,87.808,550,2.907,,0,,,1,,,,,,36,5,,,,,,,"AMMONIUM,NITRATE,SALINITY,SEDIMENT",fertilisation,microM,87.808,,483,67
"Effects of suspended sediments, dissolved inorganic nutrients and salinity on fertilisation and embryo development in the coral Acropora millepora","Humphrey, Weber, Lott, Cooper",Acropora millepora,36,spawn,fertilisation,0%,85.497,550,1.744,,50,,,1,,,,,,36,5,,,,,,,"AMMONIUM,NITRATE,SALINITY,SEDIMENT",fertilisation,microM,85.497,,470,80
"Effects of suspended sediments, dissolved inorganic nutrients and salinity on fertilisation and embryo development in the coral Acropora millepora","Humphrey, Weber, Lott, Cooper",Acropora millepora,36,spawn,fertilisation,0%,47.093,550,1.744,,100,,,1,,,,,,36,5,,,,,,,"AMMONIUM,NITRATE,SALINITY,SEDIMENT",fertilisation,microM,47.093,,259,291
"Effects of suspended sediments, dissolved inorganic nutrients and salinity on fertilisation and embryo development in the coral Acropora millepora","Humphrey, Weber, Lott, Cooper",Acropora millepora,37,spawn,fertilisation,0%,85.398,550,2.924,,0,,,2,,,,,,32,10,,,,,,,"AMMONIUM,NITRATE,SALINITY,SEDIMENT",fertilisation,microM,85.398,,470,80
"Effects of suspended sediments, dissolved inorganic nutrients and salinity on fertilisation and embryo development in the coral Acropora millepora","Humphrey, Weber, Lott, Cooper",Acropora millepora,37,spawn,fertilisation,0%,76.023,550,1.754,,50,,,2,,,,,,32,10,,,,,,,"AMMONIUM,NITRATE,SALINITY,SEDIMENT",fertilisation,microM,76.023,,418,132
"Effects of suspended sediments, dissolved inorganic nutrients and salinity on fertilisation and embryo development in the coral Acropora millepora","Humphrey, Weber, Lott, Cooper",Acropora millepora,37,spawn,fertilisation,0%,36.884,550,8.187,,100,,,2,,,,,,32,10,,,,,,,"AMMONIUM,NITRATE,SALINITY,SEDIMENT",fertilisation,microM,36.884,,203,347
"Effects of suspended sediments, dissolved inorganic nutrients and salinity on fertilisation and embryo development in the coral Acropora millepora","Humphrey, Weber, Lott, Cooper",Acropora millepora,38,spawn,fertilisation,0%,94.737,550,2.339,,0,,,2,,,,,,36,10,,,,,,,"AMMONIUM,NITRATE,SALINITY,SEDIMENT",fertilisation,microM,94.737,,521,29
"Effects of suspended sediments, dissolved inorganic nutrients and salinity on fertilisation and embryo development in the coral Acropora millepora","Humphrey, Weber, Lott, Cooper",Acropora millepora,38,spawn,fertilisation,0%,89.476,550,0.585,,50,,,2,,,,,,36,10,,,,,,,"AMMONIUM,NITRATE,SALINITY,SEDIMENT",fertilisation,microM,89.476,,492,58
"Effects of suspended sediments, dissolved inorganic nutrients and salinity on fertilisation and embryo development in the coral Acropora millepora","Humphrey, Weber, Lott, Cooper",Acropora millepora,38,spawn,fertilisation,0%,56.153,550,4.678,,100,,,2,,,,,,36,10,,,,,,,"AMMONIUM,NITRATE,SALINITY,SEDIMENT",fertilisation,microM,56.153,,309,241
Effect of copper on fertilization success in the reef coral Acropora surculosa,Victor and Richmond,Acropora surcolosa,27,spawn,fertilisation,0%,99.238,480,0.704,6.296767425,,,,,,0,,,,,,,,,,,,COPPER,fertilisation,ug/L,0,1,476,4
Effect of copper on fertilization success in the reef coral Acropora surculosa,Victor and Richmond,Acropora surcolosa,27,spawn,fertilisation,0%,90.088,480,9.501,84.97952742,,,,,,10,,,,,,,,,,,,COPPER,fertilisation,ug/L,10,0,432,48
Temperature tolerance of symbiotic and non-symbiotic coral larvae,Baird et al.,Acropora muricata,39,,survivorship,0%,4.493,60,3.745,,,,,,,,,,,,,28,,,,,,TEMPERATURE,survivorship,degrees celcius,,,2.6958,57.3042
Temperature tolerance of symbiotic and non-symbiotic coral larvae,Baird et al.,Acropora muricata,39,,survivorship,0%,7.785,60,5.315,,,,,,,,,,,,,28,,,,,,TEMPERATURE,survivorship,degrees celcius,,,4.671,55.329
Temperature tolerance of symbiotic and non-symbiotic coral larvae,Baird et al.,Acropora muricata,39,,survivorship,0%,6.288,60,2.657,,,,,,,,,,,,,32,,,,,,TEMPERATURE,survivorship,degrees celcius,,,3.7728,56.2272
Temperature tolerance of symbiotic and non-symbiotic coral larvae,Baird et al.,Acropora muricata,39,,survivorship,0%,6.436,60,4.134,,,,,,,,,,,,,32,,,,,,TEMPERATURE,survivorship,degrees celcius,,,3.8616,56.1384
Temperature tolerance of symbiotic and non-symbiotic coral larvae,Baird et al.,Acropora muricata,39,,survivorship,0%,0,60,0,,,,,,,,,,,,,36,,,,,,TEMPERATURE,survivorship,degrees celcius,,,0,60
Temperature tolerance of symbiotic and non-symbiotic coral larvae,Baird et al.,Acropora muricata,39,,survivorship,0%,0,60,0,,,,,,,,,,,,,36,,,,,,TEMPERATURE,survivorship,degrees celcius,,,0,60
Effects of temperature and ammonium on larval development and survivorship in a scleractinian coral (Diploria strigosa).fig1.tempertaure,Bassim and Sammarco,Diploria strigosa,40,,survivorship,0%,56.008,48,,,,,,,,,,,,,,28,,,,,,TEMPERATURE,survivorship,degrees celcius,,,26.88384,21.11616
Effects of temperature and ammonium on larval development and survivorship in a scleractinian coral (Diploria strigosa).fig1.tempertaure,Bassim and Sammarco,Diploria strigosa,40,,survivorship,0%,29.852,48,,,,,,,,,,,,,,30,,,,,,TEMPERATURE,survivorship,degrees celcius,,,14.32896,33.67104
Effects of temperature and ammonium on larval development and survivorship in a scleractinian coral (Diploria strigosa).fig1.tempertaure,Bassim and Sammarco,Diploria strigosa,40,,survivorship,0%,16.003,48,,,,,,,,,,,,,,32,,,,,,TEMPERATURE,survivorship,degrees celcius,,,7.68144,40.31856
Effects of temperature and ammonium on larval development and survivorship in a scleractinian coral (Diploria strigosa).fig1.tempertaure,Bassim and Sammarco,Diploria strigosa,41,,survivorship,0%,55.757,48,,,,,0,,,,,,,,,,,,,,,AMMONIUM,survivorship,microMoles,,,26.76336,21.23664
Effects of temperature and ammonium on larval development and survivorship in a scleractinian coral (Diploria strigosa).fig1.tempertaure,Bassim and Sammarco,Diploria strigosa,41,,survivorship,0%,13.337,48,,,,,20,,,,,,,,,,,,,,,AMMONIUM,survivorship,microMoles,,,6.40176,41.59824
Biohemical reposne of cnidarian larvae to mercury and benzo(a)pyrene exposure,"Farina, Ramos, Bastidas, Garcia",Porites astreoides,42,,survivorship,0%,99.829,90,1.695,,,,,,,,,,,,,,0,,,,,MERCURY,survivorship,ug/L,,,89.8461,0.1539
Biohemical reposne of cnidarian larvae to mercury and benzo(a)pyrene exposure,"Farina, Ramos, Bastidas, Garcia",Porites astreoides,42,,survivorship,0%,98.643,90,3.744,,,,,,,,,,,,,,10,,,,,MERCURY,survivorship,ug/L,,,88.7787,1.2213
Biohemical reposne of cnidarian larvae to mercury and benzo(a)pyrene exposure,"Farina, Ramos, Bastidas, Garcia",Porites astreoides,43,,survivorship,0%,99.829,90,1.695,,,,,,,,,,,,,,,0,,,,BENZO(A)PYRENE,survivorship,ug/L,,,89.8461,0.1539
